x,p,T
4.56,101325,300
4.57,101325,300
4.58,101325,300
4.59,101325,300
4.6,101325,300
4.61,101325,300
4.62,101325,300
4.63,101325,300
4.64,101325,300
4.65,101325,300
4.66,101325,300
4.67,101325,300
4.68,101325,300
4.69,101325,300
4.7,101325,300
4.71,101325,300
4.72,101325,300
4.73,101325,300
4.74,101325,300
4.75,101325,300
4.76,101325,300
4.77,101325,300
4.78,101325,300
4.79,101325,300
4.8,101325,300
4.81,101325,300
4.82,101325,300
4.83,101325,300
4.84,101325,300
4.85,101325,300
4.86,101325,300
4.87,101325,300
4.88,101325,300
4.89,101325,300
4.9,101325,300
4.91,101325,300
4.92,101325,300
4.93,101325,300
4.94,101325,300
4.95,101325,300
4.96,101325,300
4.97,101325,300
4.98,101325,300
4.99,101325,300
5,101325,300
5.01,101325,300
5.02,101325,300
5.03,101325,300
5.04,101325,300
5.05,101325,300
5.06,101325,300
5.07,101325,300
5.08,101325,300
5.09,101325,300
5.1,101325,300
5.11,101325,300
5.12,101325,300
5.13,101325,300
5.14,101325,300
5.15,101325,300
5.16,101325,300
5.17,101325,300
5.18,101325,300
5.19,101325,300
5.2,101325,300
5.21,101325,300
5.22,101325,300
5.23,101325,300
5.24,101325,300
5.25,101325,300
5.26,101325,300
5.27,101325,300
5.28,101325,300
5.29,101325,300
5.3,101325,300
5.31,101325,300
5.32,101325,300
5.33,101325,300
5.34,101325,300
5.35,101325,300
5.36,101325,300
5.37,101325,300
5.38,101325,300
5.39,101325,300
5.4,101325,300
5.41,101325,300
5.42,101325,300
5.43,101325,300
5.44,101325,300
5.45,101325,300
5.46,101325,300
5.47,101325,300
5.48,101325,300
5.49,101325,300
5.5,101325,300
5.51,101325,300
5.52,101325,300
5.53,101325,300
5.54,101325,300
5.55,101325,300
5.56,101325,300
5.57,101325,300
5.58,101325,300
5.59,101325,300
5.6,101325,300
5.61,101325,300
5.62,101325,300
5.63,101325,300
5.64,101325,300
5.65,101325,300
5.66,101325,300
5.67,101325,300
5.68,101325,300
5.69,101325,300
5.7,101325,300
5.71,101325,300
5.72,101325,300
5.73,101325,300
5.74,101325,300
5.75,101325,300
5.76,101325,300
5.77,101325,300
5.78,101325,300
5.79,101325,300
5.8,101325,300
5.81,101325,300
5.82,101325,300
5.83,101325,300
5.84,101325,300
5.85,101325,300
5.86,101325,300
5.87,101325,300
5.88,101325,300
5.89,101325,300
5.9,101325,300
5.91,101325,300
5.92,101325,300
5.93,101325,300
5.94,101325,300
5.95,101325,300
5.96,101325,300
5.97,101325,300
5.98,101325,300
5.99,101325,300
6,101325,300
6.01,101325,300
6.02,101325,300
6.03,101325,300
6.04,101325,300
6.05,101325,300
6.06,101325,300
6.07,101325,300
6.08,101325,300
6.09,101325,300
6.1,101325,300
6.11,101325,300
6.12,101325,300
6.13,101325,300
6.14,101325,300
6.15,101325,300
6.16,101325,300
6.17,101325,300
6.18,101325,300
6.19,101325,300
6.2,101325,300
6.21,101325,300
6.22,101325,300
6.23,101325,300
6.24,101325,300
6.25,101325,300
6.26,101325,300
6.27,101325,300
6.28,101325,300
6.29,101325,300
6.3,101325,300
6.31,101325,300
6.32,101325,300
6.33,101325,300
6.34,101325,300
6.35,101325,300
6.36,101325,300
6.37,101325,300
6.38,101325,300
6.39,101325,300
6.4,101325,300
6.41,101325,300
6.42,101325,300
6.43,101325,300
6.44,101325,300
6.45,101325,300
6.46,101325,300
6.47,101325,300
6.48,101325,300
6.49,101325,300
6.5,101325,300
6.51,101325,300
6.52,101325,300
6.53,101325,300
6.54,101325,300
6.55,101325,300
6.56,101325,300
6.57,101325,300
6.58,101325,300
6.59,101325,300
6.6,101325,300
6.61,101325,300
6.62,101325,300
6.63,101325,300
6.64,101325,300
6.65,101325,300
6.66,101325,300
6.67,101325,300
6.68,101325,300
6.69,101325,300
6.7,101325,300
6.71,101325,300
6.72,101325,300
6.73,101325,300
6.74,101325,300
6.75,101325,300
6.76,101325,300
6.77,101325,300
6.78,101325,300
6.79,101325,300
6.8,101325,300
6.81,101325,300
6.82,101325,300
6.83,101325,300
6.84,101325,300
6.85,101325,300
6.86,101325,300
6.87,101325,300
6.88,101325,300
6.89,101325,300
6.9,101325,300
6.91,101325,300
6.92,101325,300
6.93,101325,300
6.94,101325,300
6.95,101325,300
6.96,101325,300
6.97,101325,300
6.98,101325,300
6.99,101325,300
7,101325,300
7.01,101325,300
7.02,101325,300
7.03,101325,300
7.04,101325,300
7.05,101325,300
7.06,101325,300
7.07,101325,300
7.08,101325,300
7.09,101325,300
7.1,101325,300
7.11,101325,300
7.12,101325,300
7.13,101325,300
7.14,101325,300
7.15,101325,300
7.16,101325,300
7.17,101325,300
7.18,101325,300
7.19,101325,300
7.2,101325,300
7.21,101325,300
7.22,101325,300
7.23,101325,300
7.24,101325,300
7.25,101325,300
7.26,101325,300
7.27,101325,300
7.28,101325,300
7.29,101325,300
7.3,101325,300
7.31,101325,300
7.32,101325,300
7.33,101325,300
7.34,101325,300
7.35,101325,300
7.36,101325,300
7.37,101325,300
7.38,101325,300
7.39,101325,300
7.4,101325,300
7.41,101325,300
7.42,101325,300
7.43,101325,300
7.44,101325,300
7.45,101325,300
7.46,101325,300
7.47,101325,300
7.48,101325,300
7.49,101325,300
7.5,101325,300
7.51,101325,300
7.52,101325,300
7.53,101325,300
7.54,101325,300
7.55,101325,300
7.56,101325,300
7.57,101325,300
7.58,101325,300
7.59,101325,300
7.6,101325,300
7.61,101325,300
7.62,101325,300
7.63,101325,300
7.64,101325,300
7.65,101325,300
7.66,101325,300
7.67,101325,300
7.68,101325,300
7.69,101325,300
7.7,101325,300
7.71,101325,300
7.72,101325,300
7.73,101325,300
7.74,101325,300
7.75,101325,300
7.76,101325,300
7.77,101325,300
7.78,101325,300
